name,gender,age,class,embarked,country,fare,survived
"Abbing, Mr. Anthony",male,42,3rd,S,United States,7.11,no
"Abbott, Mr. Eugene Joseph",male,13,3rd,S,United States,20.05,no
"Abbott, Mr. Rossmore Edward",male,16,3rd,S,United States,20.05,no
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,S,England,20.05,yes
"Abelseth, Miss. Karen Marie",female,16,3rd,S,Norway,7.13,yes
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,S,United States,7.13,yes
"Abelson, Mr. Samuel",male,30,2nd,C,France,24,no
"Abelson, Mrs. Hannah",female,28,2nd,C,France,24,yes
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27,3rd,C,Lebanon,18.1509,yes
"Abrahamsson, Mr. Abraham August Johannes",male,20,3rd,S,Finland,7.1806,yes
"Ådahl, Mr. Mauritz",male,30,3rd,S,Sweden,7.05,no
"Adams, Mr. John",male,27,3rd,S,England,8.01,no
"Ahlin, Mrs. Johanna Persdotter",female,40,3rd,S,Sweden,9.0906,no
"Aks, Master. Frank Philip",male,0.8333333333,3rd,S,England,9.07,yes
"Aks, Mrs. Leah",female,18,3rd,S,England,9.07,yes
"Aldworth, Mr. Augustus Henry",male,35,2nd,S,England,13,no
"Alexander, Mr. William Albert",male,25,3rd,S,England,7.1709,no
"Alhomäki, Mr. Ilmari Rudolf",male,19,3rd,S,Finland,7.1806,no
"Ali, Mr. Ahmed",male,24,3rd,S,Argentina,7.01,no
"Ali, Mr. William",male,25,3rd,S,Argentina,7.01,no
"Allen, Miss. Elisabeth Walton",female,29,1st,S,United States,211.6009,yes
"Allen, Mr. William Henry",male,39,3rd,S,England,8.01,no
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,S,Canada,151.16,yes
"Allison, Miss. Helen Loraine",female,2,1st,S,Canada,151.16,no
"Allison, Mr. Hudson Joshua Creighton",male,30,1st,S,Canada,151.16,no
"Allison, Mrs. Bessie Waldo",female,25,1st,S,United States,151.16,no
"Allum, Mr. Owen George",male,18,3rd,S,England,8.06,no
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19,3rd,C,Lebanon,7.0407,no
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,S,Denmark,7.1701,yes
"Andersen, Mr. Albert Karvin",male,33,3rd,S,Norway,22.1006,no
"Anderson, Mr. Harry",male,47,1st,S,United States,26.11,yes
"Andersson, Master. Sigvard Harald Elias",male,4,3rd,S,Sweden,31.0506,no
"Andersson, Miss. Ebba Iris Alfrida",female,6,3rd,S,Sweden,31.0506,no
"Andersson, Miss. Ellis Anna Maria",female,2,3rd,S,Sweden,31.0506,no
"Andersson, Miss. Erna Alexandra",female,16,3rd,S,Finland,7.1806,yes
"Andersson, Miss. Ida Augusta Margareta",female,38,3rd,S,Sweden,7.1506,no
"Andersson, Miss. Ingeborg Constanzia",female,9,3rd,S,Sweden,31.0506,no
"Andersson, Miss. Sigrid Elisabeth",female,11,3rd,S,Sweden,31.0506,no
"Andersson, Mr. Anders Johan",male,39,3rd,S,Sweden,31.0506,no
"Andersson, Mr. Johan Samuel",male,26,3rd,S,Sweden,7.1506,no
